"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__positive_emotion_words","movavg_liwc__positive_emotion_words","%change_liwc__positive_emotion_words","Peer Comparison_liwc__positive_emotion_words","Peer Deviation_liwc__positive_emotion_words","empathy.capacity","movavg_empathy.capacity","%change_empathy.capacity","Peer Comparison_empathy.capacity","Peer Deviation_empathy.capacity","salleegratitude","movavg_salleegratitude","%change_salleegratitude","Peer Comparison_salleegratitude","Peer Deviation_salleegratitude","personality__extraversion","movavg_personality__extraversion","%change_personality__extraversion","Peer Comparison_personality__extraversion","Peer Deviation_personality__extraversion","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","sallee__joy","movavg_sallee__joy","%change_sallee__joy","Peer Comparison_sallee__joy","Peer Deviation_sallee__joy","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend","personality__melancholy","movavg_personality__melancholy","%change_personality__melancholy","Peer Comparison_personality__melancholy","Peer Deviation_personality__melancholy","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus"
"1",1,2,8222023,0.431506849315068,1.43661971830986,2,7,40.1162928150386,NA,40.1162928150386,NA,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,57.924944812362,57.924944812362,0,1.40131286522795,1.03249921696785,59.5408613857933,59.5408613857933,0,1.08135650918793,0.25879946677231,0,0,NA,0,-0.9640748931001,55.4352896142515,55.4352896142515,0,1.17071998400276,1.0349563974617,51.3803061281931,51.3803061281931,0,1.22547857788576,0.810357200461967,27.5703167510006,27.5703167510006,0,1.59294463188663,0.570325116777333,22.4827906052628,22.4827906052628,0,0.565142993437968,-1.08480360580937,32.8272719841847,32.8272719841847,0,0.661648605426473,-1.28580922898584,41.9800522297559,41.9800522297559,0,0.752207187757854,-1.37402142900651,9.75316074653824,9.75316074653824,0,0.27421331893557,-1.6206544699514,48.6017650167167,48.6017650167167,0,1.22247009690731,0.627166761242593,16.3236083765886,16.3236083765886,0,0.531902599282166,-1.2517999200638
"2",1,23,9122023,0.431506849315068,1.43661971830986,2,7,59.5893279647497,48.5414622918774,49.8528103898941,24.2707311459387,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,62.6751592356688,60.3000520240154,3.93881453154879,1.5162294457363,1.18032811764874,43.0162825610115,51.2785719734024,-16.1125575350976,0.781243940140845,-0.218537710156223,5.2040992821932,2.6020496410966,100,0.55706049510954,-0.695550874463591,45.5546542846961,50.4949719494738,-9.78378138267128,0.962054036454784,0.402458220377483,57.2480840865917,54.3141951073924,5.40169834681024,1.36543173756267,1.06184905333557,0,13.7851583755003,-100,0,-0.195763556890151,22.2266967335875,22.3547436694251,-0.572795366080533,0.558705640540778,-1.09283298504135,51.8933775735438,42.3603247788643,22.5046735227962,1.04593463992215,-0.555623780293188,47.7330719403273,44.8565620850416,6.41268461419813,0.855290975122394,-1.08821948919153,18.7608569774175,14.2570088619779,31.5904139433551,0.527467658079885,-1.33790074390694,43.0884832594745,45.8451241380956,-6.01294233671936,1.08379566642654,0.431697809143337,10.4665174728869,13.3950629247378,-21.8628719275552,0.341050074274338,-1.50699165492754
"3",1,25,9142023,0.431506849315068,1.43661971830986,1,6,65.1411920881391,9.31687654989772,54.9489376226425,10.2223469306785,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,57.1677559912854,59.2559533464387,-3.52402963284504,1.38299504999622,1.11534243660191,43.8763336325783,48.8111591931277,-10.1100355781843,0.796863832141512,-0.361087528017528,9.01802105578657,4.74070677932659,90.2252443688906,0.96531272787855,-0.474847625696534,40.5225569538747,47.1708336176074,-14.0940410712842,0.855782797544813,-0.0231240150061324,62.8118007289233,57.1467303145694,9.91320130332924,1.49813268997803,1.30465289923198,46.2703678343658,24.6135615284555,87.9872922123567,2.67338727816749,0.406008057437288,40.6424248894403,28.4506374094302,42.852422968805,1.02161613590884,-0.710580631432505,66.5513986674437,50.4240160750574,31.9835345292217,1.34137372544114,0.062015728691377,56.70203352227,48.8050525641177,16.1806627454762,1.01599866866546,-0.695908565525727,38.5026737967915,22.3388971735824,72.3570930901821,1.08251532442539,-0.830515953165984,44.7035428638271,45.4645970466728,-1.67394903349607,1.12441892507497,0.404715247728589,24.1653418124007,16.9851558872921,42.2733001260277,0.787424436192224,-1.19415305757632
"4",1,34,9232023,0.431506849315068,1.43661971830986,0,5,37.6030460775521,-42.2745502927343,54.111188710147,-1.5245952856244,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,48.3241252302026,56.0556801523856,-13.7926342186287,1.16905106436144,0.916154431178764,32.1988338640558,39.6971500192152,-18.888802222653,0.584781909041466,-0.887631103585311,15.651110923266,9.95774375374859,57.1752729364435,1.67533613929336,0.0635355441021255,55.5236912953372,47.200300844636,17.6341894050599,1.172586910565,-0.0193513897127889,47.7893967726348,55.9497605293833,-14.5851629739557,1.13983131686347,1.20204910227701,17.2079880375741,21.1594519573133,-18.6746987951806,0.994234938161464,0.214051305981944,25.7069707719471,29.5253641316583,-12.9325868520516,0.646188218773864,-0.6431882462336,48.5314857040527,55.6587539816801,-12.8052961443824,0.978174179408858,0.462971175961003,31.8717602851112,45.4356219159028,-29.852923892837,0.571084739050487,-1.0306857308333,24.4098442993471,27.224458357852,-10.3385493349701,0.6862907926951,-0.523798099174678,40.0004943947987,42.5975068393668,-6.096630148711,1.00612412414098,0.201414512133143,29.5057488427655,21.379202709351,38.0114555434754,0.961440886179456,-0.81125839193778
"5",1,43,10022023,0.431506849315068,1.43661971830986,1,5,43.7125572096558,16.2473835749995,48.8189317917823,-9.78033756884041,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,28.3982683982683,44.6300498732521,-36.369624325049,0.687007281329287,0.205012485474876,60.4747938387503,45.5166537784615,32.8630046775693,1.09831820429347,-0.551420961708938,5.83125929682491,10.1667970919592,-42.6440869815647,0.624193355056903,0.0851092456945447,53.5107919686988,49.8523467393036,7.33856171009682,1.13007713955308,0.320184305710231,46.1598749616162,52.2536908210581,-11.6619816967764,1.10096537342945,0.885223405774211,0,21.1594519573133,-100,0,0.214051305981944,27.723299352348,31.3575650045785,-11.5897572139285,0.69687205022918,-0.528297284246895,50.9801969300443,55.3543604338469,-7.90211190142842,1.02752906849468,0.439656111616897,35.3888695248596,41.3208877774136,-14.3559796791116,0.634105023917905,-1.43951415756099,38.2526564344745,33.7217248435377,13.4362391365194,1.07548600413691,-0.115896620074265,26.2977812642243,37.0006061742834,-28.9260799124364,0.661462627940898,-0.195452673756781,8.002808002808,20.5579662193247,-61.0719858305572,0.260770430167554,-0.882820458523007
"6",1,48,10072023,0.431506849315068,1.43661971830986,1,7,51.4589853871425,17.7212880507836,44.2581962247835,-9.34214535141994,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,35.042735042735,37.255042890402,-5.93827754855953,0.847749369589027,-0.254014866822886,51.878186368344,48.1839380237167,7.66697056352875,0.94219017341356,-0.39732397137758,19.8580975167065,13.7801559122658,44.106479223727,2.12566306573768,0.457997455004613,52.4743283386364,53.8362705342241,-2.52978555548706,1.10818839877352,0.830237445793703,54.9813475422957,49.6435397588489,10.7522707070769,1.31136749999634,0.661482244616111,0,5.7359960125247,-100,0,-0.643083199567989,31.6545349020073,28.3616016754341,11.6105333692257,0.795690309290141,-0.716163753502356,58.0443251846738,52.5186692729236,10.5213174443454,1.16990978811345,0.222455969407661,53.2988610376788,40.1864969492165,32.6287810182418,0.955019925950248,-1.5522240440268,37.7622377622377,33.4749128320198,12.8075760846104,1.06169772203259,-0.131391595504273,55.3267748905333,40.5416835165188,36.4688638743636,1.39162287292932,0.0556394009335591,18.4338184338185,18.647458426464,-1.14567887890987,0.600663512223556,-1.04930098824218
"7",1,58,10172023,0.431506849315068,1.43661971830986,0,4,26.1975346728834,-49.0904562618347,40.4563590898939,-8.59013122807891,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,69.4179894179894,44.2863309529976,56.7481160082212,1.67935113213826,0.183619097473214,45.7271064319793,52.6933622130245,-13.2203668327001,0.830476802580294,-0.136801045507986,22.8743274417882,16.1878947517732,41.3051406161544,2.44852826186863,0.706469159310477,51.5188600754459,52.5013267942604,-1.8713178862403,1.08801017299747,0.659327488311228,36.8847551760032,46.0086592266384,-19.8308409851521,0.879743246487783,0.349901661130872,0,0,NA,0,-0.961852230557634,5.57829896111898,21.6520444051581,-74.2366177681121,0.140219985522648,-1.13689681868112,27.7492943495234,45.5912721547472,-39.1346346832877,0.559299655383376,-0.308148935647611,28.4660926281633,39.0512743969006,-27.1058548849238,0.510061287325126,-1.66501656826496,0,25.3382980655707,-100,0,-0.642212139100088,30.1854021913676,37.2699861153751,-19.0088182541202,0.759247149344783,-0.176351377244015,21.7360217360218,16.0575493908828,35.3632562909206,0.708265365887186,-1.27498414419645
"8",1,61,10202023,0.431506849315068,1.43661971830986,1,5,42.8942785648301,63.7340272679521,40.1835995416187,-0.674206859962759,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,30.5400372439478,45.0002539015574,-32.1336334884749,0.738820679641833,0.228054331444394,48.7912366923647,48.7988431642293,-0.0155874020190079,0.886126269600904,-0.361799061851782,12.4935599215656,18.4086616266868,-32.1321659611915,1.33734356287203,0.935645896098372,51.4952346750101,51.8294743630308,-0.644883422277389,1.08751123579316,0.57331167579537,46.1226541717269,45.9962522966753,0.274809074087914,1.10007761537392,0.348838143790231,0,0,NA,0,-0.961852230557634,17.0842709996212,18.1057016209158,-5.6414859952992,0.429442066287417,-1.35927567464511,64.4099263647214,50.0678486329729,28.6452845954786,1.29821137666789,0.0347350360203625,38.6926344990042,40.1525293882821,-3.63587278689334,0.693302562468196,-1.55559896547475,24.6825799898425,20.8149392506934,18.581081081081,0.693958846244763,-0.926190756131623,38.0760626398207,41.1960799072405,-7.57357805510875,0.95771929206975,0.102041592000211,0,13.3899467232801,-100,0,-1.50743747772502
"152",1,65,10242023,0.431506849315068,1.43661971830986,1,NA,NA,NA,34.5459066188567,-14.0298355226313,51.105087548474,0.853134715605318,"Activating",0.450872332547197,"Aware",0.832315204807991,NA,49.9790133309686,NA,NA,0.537936988359105,NA,47.259171562172,NA,NA,-0.450750496404642,NA,17.6839436816769,NA,NA,0.860857094263666,NA,51.507047375228,NA,NA,0.53203204645453,NA,41.5037046738651,NA,NA,-0.036261338089894,NA,0,NA,NA,-0.961852230557634,NA,11.3312849803701,NA,NA,-1.78407584597706,NA,46.0796103571224,NA,NA,-0.270744605985855,NA,33.5793635635837,NA,NA,-2.20869025941636,NA,12.3412899949212,NA,NA,-1.45817048521038,NA,34.1307324155942,NA,NA,-0.39895078648474,NA,10.8680108680109,NA,NA,-1.72719749057182
"9",2,2,8222023,0.287671232876712,0.957746478873239,0,0,6.07157412947962,NA,6.07157412947962,NA,51.105087548474,0.884007824737195,"Blocking",-0.816632370077519,"Blocking",-0.852842752138107,21.437908496732,21.437908496732,0,0.518623143748581,-1.23848814780388,97.2179656012985,97.2179656012985,0,1.76563249953344,2.43551849262728,6.27858447091555,6.27858447091555,0,0.67207621997582,-0.316143083171792,58.3376949941761,58.3376949941761,0,1.23201494617576,1.40654507586794,36.6377204727438,36.6377204727438,0,0.873851188622588,-0.453371662123921,0,0,NA,0,-0.961852230557634,5.0924164529677,5.0924164529677,0,0.128006506335973,-2.17529365261385,15.7510103831898,15.7510103831898,0,0.317468782027221,-2.59376776101815,47.5657952592971,47.5657952592971,0,0.852293677236089,-0.819037690564807,9.62566844919787,9.62566844919787,0,0.270628831106347,-1.62865849699472,20.5545563987465,20.5545563987465,0,0.517004486236657,-1.36161549921863,24.1653418124007,24.1653418124007,0,0.787424436192224,-0.568475862873883
