"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","liwc__cognitive_processes","movavg_liwc__cognitive_processes","%change_liwc__cognitive_processes","Peer Comparison_liwc__cognitive_processes","Peer Deviation_liwc__cognitive_processes","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","liwc__negative_emotion_words","movavg_liwc__negative_emotion_words","%change_liwc__negative_emotion_words","Peer Comparison_liwc__negative_emotion_words","Peer Deviation_liwc__negative_emotion_words","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware"
"191",20,9,8292023,0.671232876712329,2.23474178403756,1,NA,NA,NA,NA,NA,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",20,10,8302023,0.671232876712329,2.23474178403756,1,NA,NA,NA,NA,NA,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",20,30,9192023,0.671232876712329,2.23474178403756,1,NA,NA,NA,NA,NA,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",20,33,9222023,0.671232876712329,2.23474178403756,1,5,38.7584038724333,NA,38.7584038724333,NA,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,16.839327711811,16.839327711811,0,0.423556111030762,-1.62505636446751,38.745388967771,38.745388967771,0,0.694247827861759,-1.6954084853466,9.44055944055945,9.44055944055945,0,0.265424430508148,-1.64027972856722,35.2925599974925,35.2925599974925,0,0.841767585575806,-0.568678308943808
"81",20,37,9262023,0.671232876712329,2.23474178403756,1,4,16.471032296439,-57.5033266316884,27.6147180844361,-28.7516633158442,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,26.5918030150167,21.7155653634139,22.455034303727,0.668858095946235,-1.27929022882835,47.0362168002476,42.8908028840093,9.66504154153711,0.842804581767637,-1.28353180207369,9.62566844919787,9.53311394487866,0.970873786407747,0.270628831106347,-1.63446911278097,77.1345109463816,56.213535471937,37.2169714977076,1.83974557381271,1.22465979051873
"82",20,44,10032023,0.671232876712329,2.23474178403756,2,4,0.143492488771043,-99.1288190916725,18.4576428858811,-33.1601255915628,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,18.2604026845638,20.5638444704638,-11.2014161029495,0.459300114547016,-1.36095689705551,44.314155786465,43.3652538514945,2.18816183624799,0.794030134111486,-1.23639168656002,0,6.35540929658577,-100,0,-1.83396692144229,37.0867782038855,49.8379497159199,-25.5852650133423,0.884561724841954,0.678146992555618
"194",20,50,10092023,0.671232876712329,2.23474178403756,0,NA,NA,NA,8.30726239260502,-54.9928317284785,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,NA,22.4261028497903,NA,NA,-1.2289071633495,NA,45.6751862933563,NA,NA,-1.00688328716674,NA,4.81283422459893,NA,NA,-1.93081051787982,NA,57.1106445751335,NA,NA,1.30155964330533
"83",20,65,10242023,0.671232876712329,2.23474178403756,1,6,61.1904202070688,NA,30.6669563479199,269.158392964921,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,47.6860149946192,32.9732088395915,44.6204863669859,1.1994364268776,-0.4810289135945,55.7245714339708,50.0193636102179,11.4059984213543,0.99848430244801,-0.575258030685228,26.4561785519869,13.2280892759934,100,0.743824152561753,-1.40249680471545,30.4488893717248,33.7678337878052,-9.82871580373316,0.726240547348298,-0.699377262557204
"195",20,72,10312023,0.671232876712329,2.23474178403756,2,NA,NA,NA,61.1904202070688,99.5320941304279,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,NA,47.6860149946192,NA,NA,0.562232406320814,NA,55.7245714339708,NA,NA,-0.00840460583776821,NA,26.4561785519869,NA,NA,-0.572031070665964,NA,30.4488893717248,NA,NA,-0.983875921743809
"84",20,76,11042023,0.671232876712329,2.23474178403756,1,7,21.7949478380864,NA,41.4926840225776,-32.1908823600719,51.105087548474,1.41998909234313,"Blocking",0.295678459622574,"Blocking",-0.130741598515115,14.7357627850387,31.210888889829,-52.7864687319405,0.37064557950999,-0.605992174683486,34.7512401031565,45.2379057685636,-23.1811475072625,0.62267984913475,-1.05033025189707,0,13.2280892759934,-100,0,-1.40249680471545,21.9921862307248,26.2205378012248,-16.1261054313786,0.524538585647683,-1.34632861801328
