"","panel","input_day_c","mdy","inputperweek","inputcomparison","temperature","BO","BO.latent","BPI.PercentChange","movavg_BOlatent","BPI.PercentChange.mvgavg","PopulationBOaverage","wave","overall_awareness","awareness.score","recent_awareness","awareness.recent.score","additional_indicatorsself_focus","movavg_additional_indicatorsself_focus","%change_additional_indicatorsself_focus","Peer Comparison_additional_indicatorsself_focus","Peer Deviation_additional_indicatorsself_focus","personality__emotionally_aware","movavg_personality__emotionally_aware","%change_personality__emotionally_aware","Peer Comparison_personality__emotionally_aware","Peer Deviation_personality__emotionally_aware","personality__stress_prone","movavg_personality__stress_prone","%change_personality__stress_prone","Peer Comparison_personality__stress_prone","Peer Deviation_personality__stress_prone","anxiety.blend","movavg_anxiety.blend","%change_anxiety.blend","Peer Comparison_anxiety.blend","Peer Deviation_anxiety.blend"
"119",29,2,8222023,0.479452054794521,1.5962441314554,0,6,22.9594613398132,NA,22.9594613398132,NA,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,7.80020526855973,7.80020526855973,0,0.254168647125338,-1.99452427310607,31.5218206016921,31.5218206016921,0,0.751831174126368,-0.891904662795873,37.8032900614992,37.8032900614992,0,0.677367106394381,-1.78901278655047,0,0,NA,0,-2.49462142598506
"120",29,9,8292023,0.479452054794521,1.5962441314554,1,3,20.9198223605364,-8.88365344939488,21.9396418501748,-4.44182672469743,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,13.1670131670132,10.4836092177865,25.5961844197138,0.429045365873968,-1.76069402515463,58.679480990045,45.1006507958685,30.1078364825289,1.39957217723342,0.272067522109878,45.6083738072646,41.7058319343819,9.35730494244255,0.817220198107671,-1.40126718733775,15.441751961725,7.7208759808625,100,0.38815457034649,-2.01047207209487
"121",29,24,9132023,0.479452054794521,1.5962441314554,0,4,31.1879350958434,49.0831736443278,25.0224062653977,14.0511154934751,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,20.6697263301038,13.8789815885589,48.9282639235059,0.673520272466306,-1.4648232660861,36.2336537935517,42.1449851284296,-14.0261796673178,0.864213740022109,0.0187089797624477,40.3695842832035,41.2604160506558,-2.15904698187866,0.723350492715639,-1.44552245848149,32.6532712694312,16.0316744103854,103.679730722814,0.820795238222281,-1.48933072751966
"122",29,40,9292023,0.479452054794521,1.5962441314554,2,4,42.7754475187581,37.153830118298,31.6277349917126,26.3976559898205,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,28.7829230504391,20.8732208491854,37.8940186490789,0.937887704254434,-0.855349354782031,48.1777989097628,47.6969778977865,1.00807437529205,1.14909514836864,0.49462369862393,46.6555186164764,44.2111589023148,5.52882976798326,0.835983153613337,-1.15234493664902,32.7293842784306,26.9414691698623,21.4832942928106,0.822708467522892,-0.805215337379017
"123",29,46,10052023,0.479452054794521,1.5962441314554,2,5,30.5611515175883,-28.5544552066078,34.8415113773966,10.1612600033675,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,20.0395517468689,23.1640670424706,-13.4886299969388,0.652986117817942,-0.655726359686988,39.3250607288789,41.2455044773978,-4.65612864444727,0.937947301774715,-0.0583941612070113,50.7773251261508,45.9341426752769,10.5437527921483,0.909838528212575,-0.981154108403666,11.9413535686287,25.7746697054968,-53.6701975037064,0.300166132397118,-0.878381284894837
"124",29,51,10102023,0.479452054794521,1.5962441314554,0,4,22.0970253070605,-27.6957044817392,31.811208114469,-8.69739326203151,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,10.8824055843924,19.9016267939001,-45.3190148871254,0.354601732854777,-0.940013491510667,35.5585024310383,41.0204540232267,-13.3151904878861,0.848110614253916,-0.0776854009610771,39.5741010602645,45.6689816009639,-13.3457772147272,0.709096861139369,-1.00749976797539,5.68886596714524,16.7865346047348,-66.1105397802556,0.142999274351079,-1.44199606286794
"207",29,53,10122023,0.479452054794521,1.5962441314554,0,NA,NA,NA,26.3290884123244,-17.2332961464959,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,NA,15.4609786656306,NA,NA,-1.32696896766907,NA,37.4417815799586,NA,NA,-0.384447848335902,NA,45.1757130932076,NA,NA,-1.05650954143657,NA,8.81510976788697,NA,NA,-1.94185646652035
"125",29,65,10242023,0.479452054794521,1.5962441314554,1,7,60.4392408405407,NA,41.2681330738006,56.7396957597794,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,4.6949806949807,7.78869313968655,-39.7205588822357,0.152985319031632,-1.99552743327122,30.6834940099138,33.1209982204761,-7.35939235386734,0.731836134063098,-0.754823762573214,61.5439936172174,50.559047338741,21.7269645230424,1.10275790293993,-0.521636571257568,25.4353813327049,15.5621236499251,63.4441539270726,0.63936135856001,-1.51877462713144
"126",29,86,11142023,0.479452054794521,1.5962441314554,0,6,45.4748018147813,-24.759475495797,52.957021327661,28.3242477505753,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,12.524719841793,8.60985026838685,45.4696591853698,0.408116323636212,-1.92397228218545,19.8765248066935,25.2800094083036,-21.3745355641968,0.474077661052549,-1.42695035588167,28.0220398895365,44.783016753377,-37.4270830304807,0.502104659260192,-1.09552674677505,22.9056115178876,24.1704964252962,-5.23317719732414,0.575771312690873,-0.978973427426605
"127",29,115,12132023,0.479452054794521,1.5962441314554,1,7,46.6843538627769,2.65982917951375,50.8661321726996,-3.94827560640996,51.105087548474,0.93201225541716,"Activating",0.358241235367017,"Blocking",0.140618228624567,15.9023539668701,11.0406848345479,44.0341265526327,0.518176080591011,-1.71215078229603,31.3352932727101,27.2984373631058,14.7878644330762,0.747382285766548,-1.25393147553412,41.9983708792206,43.8548014619915,-4.23312960242186,0.752535425076902,-1.18775161099946,31.6317220449723,26.6575716318549,18.6594281047469,0.795116869518362,-0.823017567325199
